Character,Image,Color,1.0A,1.0B,1.1A,1.1B,1.2A,1.2B,1.3A,1.3B,1.4A,1.4B,1.5A,1.5B,1.6A,1.6B,2.0A,2.0B,2.1A,2.1B,2.2A,2.2B,2.3A,2.3B,2.4A,2.4B,2.5A,2.5B,2.6A,2.6B,2.7A,2.7B,2.8A,2.8B,3.0A,3.0B,3.1A,3.1B,3.2A,3.2B,3.3A,3.3B,3.4A,3.4B,3.5A,3.5B,3.6A,3.6B,3.7A,3.7B,3.8A,3.8B,4.0A,4.0B,4.1A,4.1B,4.2A,4.2B,4.3A,4.3B,4.4A,4.4B,4.5A,4.5B,4.6A,4.6B,4.7A,4.7B,4.8A,4.8B,5.0A,5.0B,5.1A,5.1B,5.2A,5.2B,5.3A,5.3B,5.4A,5.4B,5.5A,5.5B,5.6A,5.6B,5.7A,5.7B,5.8A,5.8B,6.0A,6.0B,6.1A,6.1B,6.2A,6.2B,6.3A,6.3B,6.4A,6.4B,6.5A,6.5B,6.6A,6.6B,6.7A
Chongyun,https://tierlist-plus.netlify.app/headshots/Chongyun.png,Cryo,7,7,10,11,,12,11,11,11,12,12,15,15,13,16,17,20,21,21,22,22,22,24,24,24,24,25,25,26,21,21,21,22,23,24,24,25,26,27,27,28,28,29,30,30,31,33,33,33,33,33,33,32,32,33,33,33,34,36,36,37,37,37,37,37,38,38,38,38,38,39,39,39,39,40,41,42,42,43,43,44,44,45,45,46,46,47,47,47,47,46,46,47,48,48,48,49,49,51,51,51
Citlali,https://tierlist-plus.netlify.app/headshots/Citlali.png,Cryo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,5,5,6,6,6,6,7,7,7,7,7
Clorinde,https://tierlist-plus.netlify.app/headshots/Clorinde.png,Electro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Collei,https://tierlist-plus.netlify.app/headshots/Collei.png,Dendro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Columbina,https://tierlist-plus.netlify.app/headshots/Columbina.png,Hydro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1
Cyno,https://tierlist-plus.netlify.app/headshots/Cyno.png,Electro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dahlia,https://tierlist-plus.netlify.app/headshots/Dahlia.png,Hydro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,37,38,38,39,39,39,39,38,38,39,40,40,40,41,41,43,43,44
Dehya,https://tierlist-plus.netlify.app/headshots/Dehya.png,Pyro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,26,26,27,28,28,28,28,28,28,27,27,28,28,28,28,28,28,28,28,29,29,29,30,30,30,30,30,31,31,31,31,32,33,34,34,35,35,36,36,36,36,37,37,36,36,36,36,35,35,36,37,37,37,38,38,40,40,41
Diluc,https://tierlist-plus.netlify.app/headshots/Diluc.png,Pyro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diona,https://tierlist-plus.netlify.app/headshots/Diona.png,Cryo,,,6,7,6,2,3,3,3,3,3,3,3,8,3,3,4,4,4,4,4,5,5,5,5,5,5,5,5,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,9,9,11,11,11,17,18,18,18,18,18,18,18,18,18,18,18,18,19,19,19,19,19,19,20,20,21,21,22,22,22,22,23,23,24,24,24,24,22,22,23,24,24,24,26,26,28,28,29
Dori,https://tierlist-plus.netlify.app/headshots/Dori.png,Electro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,17,17,18,19,20,20,27,27,28,29,29,30,32,32,32,32,32,32,31,31,32,32,32,33,35,35,35,35,35,35,35,36,36,36,36,36,37,37,37,37,38,39,40,40,41,41,42,42,43,43,44,44,45,45,45,45,44,44,45,46,46,46,47,47,49,49,49
Durin,https://tierlist-plus.netlify.app/headshots/Durin.png,Pyro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emilie,https://tierlist-plus.netlify.app/headshots/Emilie.png,Dendro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Escoffier,https://tierlist-plus.netlify.app/headshots/Escoffier.png,Cryo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,9,9,9,9,9,8,8,8,8,9,9,10,10,10,10,12,12,13,13,13
Eula,https://tierlist-plus.netlify.app/headshots/Eula.png,Cryo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Faruzan,https://tierlist-plus.netlify.app/headshots/Faruzan.png,Anemo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,16,16,16,16,17,17,18,17,17,17,17,17,17,16,16,17,17,17,14,15,15,15,15,15,15,15,15,15,15,15,15,16,16,16,16,17,17,18,18,19,19,20,20,20,20,21,21,22,22,22,22,21,21,22,22,22,22,24,24,26,26,27
Fischl,https://tierlist-plus.netlify.app/headshots/Fischl.png,Electro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flins,https://tierlist-plus.netlify.app/headshots/Flins.png,Electro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Freminet,https://tierlist-plus.netlify.app/headshots/Freminet.png,Cryo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Furina,https://tierlist-plus.netlify.app/headshots/Furina.png,Hydro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,4,4,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,10,10,10
Gaming,https://tierlist-plus.netlify.app/headshots/Gaming.png,Pyro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ganyu,https://tierlist-plus.netlify.app/headshots/Ganyu.png,Cryo,,,,,,,8,8,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gorou,https://tierlist-plus.netlify.app/headshots/Gorou.png,Geo,,,,,,,,,,,,,,,,,,,,,,12,11,11,14,14,14,14,14,11,11,11,11,11,11,11,12,12,12,12,12,12,12,12,12,13,13,13,13,13,13,13,12,12,14,14,14,15,16,16,16,16,16,16,16,16,16,16,16,16,17,17,17,17,25,27,27,27,28,28,29,29,29,29,31,31,32,32,32,32,31,31,32,33,33,33,25,25,27,27,28
Heizou,https://tierlist-plus.netlify.app/headshots/Heizou.png,Anemo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hu Tao,https://tierlist-plus.netlify.app/headshots/Hu%20Tao.png,Pyro,,,,,,,,17,17,18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iansan,https://tierlist-plus.netlify.app/headshots/Iansan.png,Electro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,6,6,6,6,6
Ifa,https://tierlist-plus.netlify.app/headshots/Ifa.png,Anemo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Illuga,https://tierlist-plus.netlify.app/headshots/Illuga.png,Geo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,23,23,15,15,17,17,17
Ineffa,https://tierlist-plus.netlify.app/headshots/Ineffa.png,Electro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,18,16,16,16,16,13,13,14,14,14,14,9,9,8,8,8
Itto,https://tierlist-plus.netlify.app/headshots/Itto.png,Geo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jahoda,https://tierlist-plus.netlify.app/headshots/Jahoda.png,Anemo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,28,29,30,30,30,32,32,34,34,35
Jean,https://tierlist-plus.netlify.app/headshots/Jean.png,Anemo,5,5,3,3,4,5,5,6,6,6,6,7,7,3,8,8,10,10,10,11,11,10,14,14,11,11,11,11,11,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,10,10,12,12,12,11,12,12,12,12,12,12,12,12,12,12,12,12,13,13,13,13,15,15,15,15,16,16,16,16,16,16,16,16,19,19,19,19,18,18,19,19,19,19,21,21,23,23,24
Kachina,https://tierlist-plus.netlify.app/headshots/Kachina.png,Geo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kaeya,https://tierlist-plus.netlify.app/headshots/Kaeya.png,Cryo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kaveh,https://tierlist-plus.netlify.app/headshots/Kaveh.png,Dendro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kazuha,https://tierlist-plus.netlify.app/headshots/Kazuha.png,Anemo,,,,,,,,,,,,,,5,5,5,6,6,6,6,6,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,5,5,5,5,5,5,5,5,5,5,5,5,12,12,13,13,13,13,16,16,18,18,18
Keqing,https://tierlist-plus.netlify.app/headshots/Keqing.png,Electro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kinich,https://tierlist-plus.netlify.app/headshots/Kinich.png,Dendro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kirara,https://tierlist-plus.netlify.app/headshots/Kirara.png,Dendro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,21,21,21,21,21,20,20,21,21,21,22,24,24,24,24,24,24,24,24,24,24,24,24,25,25,25,25,26,28,28,28,29,29,30,30,30,30,27,27,28,28,28,28,26,26,27,28,28,28,30,30,32,32,33
Klee,https://tierlist-plus.netlify.app/headshots/Klee.png,Pyro,,,,,,,,15,15,16,16,13,13,,20,21,25,26,26,27,27,,,,,,,,,27,27,27,28,29,30,30,31,32,33,33,34,34,35,36,36,37,38,38,38,38,38,38,36,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kokomi,https://tierlist-plus.netlify.app/headshots/Kokomi.png,Hydro,,,,,,,,,,,,,,,,,,12,12,13,13,13,15,15,10,10,10,10,10,6,6,6,6,6,6,6,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,10,10,10,10,11,11,19,19,19,19,20,20,21,21,21,21,20,20,21,21,21,21,23,23,25,25,26
Lan Yan,https://tierlist-plus.netlify.app/headshots/Lan%20Yan.png,Anemo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,17,17,18,18,18,18,18,18,19,19,20,20,20,20,19,19,20,20,20,20,22,22,24,24,25
Lauma,https://tierlist-plus.netlify.app/headshots/Lauma.png,Dendro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,7,7,4,4,5,5,5,5,4,4,3,3,3
Layla,https://tierlist-plus.netlify.app/headshots/Layla.png,Cryo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,23,23,21,21,21,22,22,23,23,23,23,23,23,23,22,22,23,23,23,24,26,26,26,26,26,26,26,27,27,27,27,27,28,28,28,28,29,24,24,24,25,25,25,25,25,25,26,26,27,27,27,27,25,25,26,27,27,27,29,29,31,31,32
Linnea,https://tierlist-plus.netlify.app/headshots/Linnea.png,Geo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,2,2,2
Lisa,https://tierlist-plus.netlify.app/headshots/Lisa.png,Electro,,,,,,,20,22,22,23,23,21,21,19,22,24,27,28,28,29,29,,,,,,,,,25,25,25,26,27,28,28,29,30,31,31,32,32,33,34,34,35,36,36,36,36,36,36,35,35,35,35,35,36,37,37,38,38,38,38,38,39,39,39,39,39,40,40,40,40,41,42,43,43,44,44,45,45,46,46,47,47,48,48,48,48,47,47,48,49,49,49,50,50,52,52,52
Lohen,https://tierlist-plus.netlify.app/headshots/Lohen.png,Cryo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lynette,https://tierlist-plus.netlify.app/headshots/Lynette.png,Anemo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lyney,https://tierlist-plus.netlify.app/headshots/Lyney.png,Pyro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mavuika,https://tierlist-plus.netlify.app/headshots/Mavuika.png,Pyro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mika,https://tierlist-plus.netlify.app/headshots/Mika.png,Cryo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,14,15,22,22,22,22,22,22,21,21,22,22,22,23,25,25,25,25,25,25,25,25,25,25,25,25,26,26,26,26,27,29,30,30,31,31,31,31,31,31,32,32,37,37,37,37,36,36,37,38,38,38,39,39,41,41,42
Mizuki,https://tierlist-plus.netlify.app/headshots/Mizuki.png,Anemo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,29,30,30,32,32,32,32,33,33,33,33,33,33,32,32,33,34,34,34,35,35,37,37,38
Mona,https://tierlist-plus.netlify.app/headshots/Mona.png,Hydro,,,,,,,10,9,9,9,9,8,8,9,9,9,11,11,11,12,12,6,6,6,8,8,8,8,8,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,10,10,10,13,13,13,13,14,14,14,14,14,14,14,14,18,18,18,18,11,11,12,12,12,12,14,14,15,15,15
Mualani,https://tierlist-plus.netlify.app/headshots/Mualani.png,Hydro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nahida,https://tierlist-plus.netlify.app/headshots/Nahida.png,Dendro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,6,6,6,7,7,7,7,7,7,7,7,10,10,10,10,10,10,11,11,11,11,13,13,14,14,14
Navia,https://tierlist-plus.netlify.app/headshots/Navia.png,Geo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nefer,https://tierlist-plus.netlify.app/headshots/Nefer.png,Dendro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neuvillette,https://tierlist-plus.netlify.app/headshots/Neuvillette.png,Hydro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicole,https://tierlist-plus.netlify.app/headshots/Nicole.png,Pyro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,4
Nilou,https://tierlist-plus.netlify.app/headshots/Nilou.png,Hydro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ningguang,https://tierlist-plus.netlify.app/headshots/Ningguang.png,Geo,3,3,11,12,,16,19,21,21,22,22,20,20,18,21,23,26,27,27,28,28,24,26,26,26,26,27,27,28,31,31,31,32,33,34,34,35,36,37,37,38,38,38,39,39,40,41,41,41,41,41,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
